hp_bytes,lp_bytes,port,time
0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,2.0,0.0
0.0,0.0,3.0,0.0
0.0,0.0,4.0,0.0
0.0,0.0,5.0,0.0
0.0,0.0,6.0,0.0
0.0,0.0,7.0,0.0
216.0,4352.0,0.0,74177040.0
0.0,4352.0,0.0,74177180.0
0.0,3264.0,0.0,74177320.0
0.0,2176.0,0.0,74177460.0
0.0,1088.0,0.0,74177600.0
128.0,0.0,2.0,74177600.0
128.0,0.0,4.0,74177600.0
128.0,0.0,5.0,74177600.0
0.0,0.0,0.0,74177740.0
128.0,0.0,1.0,74177740.0
0.0,0.0,4.0,74177740.0
0.0,0.0,5.0,74177740.0
0.0,0.0,2.0,74177880.0
128.0,0.0,3.0,74177880.0
128.0,0.0,4.0,74177880.0
0.0,0.0,1.0,74178020.0
0.0,0.0,4.0,74178020.0
128.0,0.0,6.0,74178020.0
0.0,0.0,3.0,74178160.0
128.0,0.0,7.0,74178160.0
0.0,1088.0,0.0,74178300.0
0.0,0.0,6.0,74178300.0
0.0,0.0,7.0,74178440.0
0.0,0.0,0.0,74178720.0
128.0,0.0,5.0,74178860.0
128.0,0.0,2.0,74179000.0
0.0,0.0,5.0,74179000.0
0.0,0.0,2.0,74179140.0
128.0,0.0,4.0,74179140.0
0.0,0.0,4.0,74179280.0
