context,mean_arrival_time,mean_service_time,sent_time,service_time
3.0,840.0,1672.0,74176480.0,1587.0
2.0,840.0,1672.0,74176620.0,1491.0
1.0,840.0,1672.0,74177180.0,1603.0
3.0,840.0,1672.0,74177460.0,1547.0
1.0,840.0,1672.0,74178440.0,1702.0
3.0,840.0,1672.0,74180820.0,1678.0
2.0,840.0,1672.0,74181520.0,1506.0
0.0,840.0,1672.0,74181660.0,1332.0
1.0,840.0,1672.0,74182360.0,1398.0
1.0,840.0,1672.0,74182500.0,1605.0
2.0,840.0,1672.0,74182640.0,1592.0
3.0,840.0,1672.0,74183620.0,1685.0
2.0,840.0,1672.0,74185860.0,1566.0
3.0,840.0,1672.0,74186560.0,1667.0
3.0,840.0,1672.0,74187540.0,1468.0
2.0,840.0,1672.0,74188660.0,1586.0
0.0,840.0,1672.0,74189920.0,1559.0
2.0,840.0,1672.0,74190060.0,1568.0
0.0,840.0,1672.0,74190480.0,1710.0
0.0,840.0,1672.0,74191740.0,1467.0
3.0,840.0,1672.0,74192160.0,1741.0
0.0,840.0,1672.0,74195660.0,1400.0
3.0,840.0,1672.0,74196920.0,1711.0
1.0,840.0,1672.0,74197060.0,1655.0
2.0,840.0,1672.0,74198880.0,1694.0
2.0,840.0,1672.0,74199440.0,1578.0
2.0,840.0,1672.0,74200000.0,1674.0
3.0,840.0,1672.0,74200280.0,1591.0
3.0,840.0,1672.0,74200560.0,1584.0
3.0,840.0,1672.0,74202520.0,1732.0
1.0,840.0,1672.0,74202660.0,1612.0
2.0,840.0,1672.0,74203360.0,1414.0
2.0,840.0,1672.0,74203780.0,1525.0
2.0,840.0,1672.0,74204480.0,1604.0
1.0,840.0,1672.0,74204620.0,1677.0
3.0,840.0,1672.0,74204760.0,1314.0
1.0,840.0,1672.0,74205180.0,1541.0
0.0,840.0,1672.0,74207280.0,1760.0
3.0,840.0,1672.0,74207840.0,1475.0
2.0,840.0,1672.0,74207980.0,1656.0
1.0,840.0,1672.0,74209240.0,1529.0
1.0,840.0,1672.0,74209380.0,1691.0
1.0,840.0,1672.0,74210360.0,1555.0
