context,mean_arrival_time,mean_service_time,recv_time,resp_time,sent_time,service_time,time
2.0,840.0,1672.0,74178454.0,1834.0,74176620.0,1491.0,74178440.0
3.0,840.0,1672.0,74178464.0,1984.0,74176480.0,1587.0,74178440.0
1.0,840.0,1672.0,74179125.0,1945.0,74177180.0,1603.0,74179000.0
3.0,840.0,1672.0,74180042.0,2582.0,74177460.0,1547.0,74179980.0
1.0,840.0,1672.0,74180858.0,2418.0,74178440.0,1702.0,74180820.0
3.0,840.0,1672.0,74182885.0,2065.0,74180820.0,1678.0,74182780.0
0.0,840.0,1672.0,74183337.0,1677.0,74181660.0,1332.0,74183340.0
2.0,840.0,1672.0,74183369.0,1849.0,74181520.0,1506.0,74183340.0
1.0,840.0,1672.0,74184100.0,1740.0,74182360.0,1398.0,74184040.0
2.0,840.0,1672.0,74184994.0,2354.0,74182640.0,1592.0,74184880.0
3.0,840.0,1672.0,74185646.0,2026.0,74183620.0,1685.0,74185580.0
1.0,840.0,1672.0,74185735.0,3235.0,74182500.0,1605.0,74185720.0
2.0,840.0,1672.0,74187771.0,1911.0,74185860.0,1566.0,74187680.0
3.0,840.0,1672.0,74188569.0,2009.0,74186560.0,1667.0,74188520.0
3.0,840.0,1672.0,74190068.0,2528.0,74187540.0,1468.0,74190060.0
2.0,840.0,1672.0,74190586.0,1926.0,74188660.0,1586.0,74190480.0
0.0,840.0,1672.0,74191817.0,1897.0,74189920.0,1559.0,74191740.0
2.0,840.0,1672.0,74192185.0,2125.0,74190060.0,1568.0,74192160.0
0.0,840.0,1672.0,74193558.0,3078.0,74190480.0,1710.0,74193560.0
3.0,840.0,1672.0,74194281.0,2121.0,74192160.0,1741.0,74194260.0
0.0,840.0,1672.0,74195050.0,3310.0,74191740.0,1467.0,74194960.0
0.0,840.0,1672.0,74197407.0,1747.0,74195660.0,1400.0,74197340.0
3.0,840.0,1672.0,74198970.0,2050.0,74196920.0,1711.0,74198880.0
1.0,840.0,1672.0,74199058.0,1998.0,74197060.0,1655.0,74199020.0
2.0,840.0,1672.0,74201012.0,2132.0,74198880.0,1694.0,74200980.0
3.0,840.0,1672.0,74202209.0,1929.0,74200280.0,1591.0,74202100.0
2.0,840.0,1672.0,74202619.0,3179.0,74199440.0,1578.0,74202520.0
3.0,840.0,1672.0,74203824.0,3264.0,74200560.0,1584.0,74203780.0
2.0,840.0,1672.0,74204319.0,4319.0,74200000.0,1674.0,74204200.0
1.0,840.0,1672.0,74204617.0,1957.0,74202660.0,1612.0,74204620.0
3.0,840.0,1672.0,74205584.0,3064.0,74202520.0,1732.0,74205460.0
2.0,840.0,1672.0,74205759.0,2399.0,74203360.0,1414.0,74205740.0
1.0,840.0,1672.0,74206649.0,2029.0,74204620.0,1677.0,74206580.0
3.0,840.0,1672.0,74206924.0,2164.0,74204760.0,1314.0,74206860.0
2.0,840.0,1672.0,74207311.0,3531.0,74203780.0,1525.0,74207280.0
