context,mean_arrival_time,mean_service_time,recv_time,resp_time,sent_time,service_time,time
1.0,3200.0,1600.0,108266821.0,2021.0,108264800.0,1600.0,108266760.0
0.0,3200.0,1600.0,108268617.0,3257.0,108265360.0,1600.0,108268580.0
1.0,3200.0,1600.0,108270397.0,2937.0,108267460.0,1600.0,108270400.0
1.0,3200.0,1600.0,108272039.0,3739.0,108268300.0,1600.0,108271940.0
1.0,3200.0,1600.0,108274001.0,2061.0,108271940.0,1600.0,108273900.0
1.0,3200.0,1600.0,108282714.0,1954.0,108280760.0,1600.0,108282720.0
0.0,3200.0,1600.0,108285234.0,2094.0,108283140.0,1600.0,108285240.0
0.0,3200.0,1600.0,108286869.0,3589.0,108283280.0,1600.0,108286780.0
1.0,3200.0,1600.0,108288663.0,2863.0,108285800.0,1600.0,108288600.0
1.0,3200.0,1600.0,108290299.0,4359.0,108285940.0,1600.0,108290280.0
0.0,3200.0,1600.0,108292077.0,5857.0,108286220.0,1600.0,108291960.0
1.0,3200.0,1600.0,108293854.0,3854.0,108290000.0,1600.0,108293780.0
0.0,3200.0,1600.0,108300480.0,1940.0,108298540.0,1600.0,108300360.0
1.0,3200.0,1600.0,108303160.0,2100.0,108301060.0,1600.0,108303160.0
1.0,3200.0,1600.0,108306506.0,1946.0,108304560.0,1600.0,108306380.0
0.0,3200.0,1600.0,108310575.0,2095.0,108308480.0,1600.0,108310580.0
0.0,3200.0,1600.0,108315045.0,1945.0,108313100.0,1600.0,108314920.0
0.0,3200.0,1600.0,108316676.0,3296.0,108313380.0,1600.0,108316600.0
0.0,3200.0,1600.0,108318304.0,3524.0,108314780.0,1600.0,108318280.0
0.0,3200.0,1600.0,108321344.0,1944.0,108319400.0,1600.0,108321220.0
1.0,3200.0,1600.0,108323133.0,2193.0,108320940.0,1600.0,108323040.0
0.0,3200.0,1600.0,108336053.0,2093.0,108333960.0,1600.0,108336060.0
1.0,3200.0,1600.0,108340543.0,2103.0,108338440.0,1600.0,108340540.0
1.0,3200.0,1600.0,108342184.0,3464.0,108338720.0,1600.0,108342080.0
0.0,3200.0,1600.0,108347664.0,1944.0,108345720.0,1600.0,108347540.0
0.0,3200.0,1600.0,108349620.0,1940.0,108347680.0,1600.0,108349500.0
0.0,3200.0,1600.0,108351723.0,1943.0,108349780.0,1600.0,108351600.0
1.0,3200.0,1600.0,108353503.0,2603.0,108350900.0,1600.0,108353420.0
1.0,3200.0,1600.0,108355139.0,3539.0,108351600.0,1600.0,108355100.0
1.0,3200.0,1600.0,108360966.0,1946.0,108359020.0,1600.0,108360840.0
1.0,3200.0,1600.0,108362602.0,3302.0,108359300.0,1600.0,108362520.0
0.0,3200.0,1600.0,108364388.0,2708.0,108361680.0,1600.0,108364340.0
0.0,3200.0,1600.0,108366023.0,3083.0,108362940.0,1600.0,108366020.0
0.0,3200.0,1600.0,108367651.0,2471.0,108365180.0,1600.0,108367560.0
1.0,3200.0,1600.0,108369445.0,3845.0,108365600.0,1600.0,108369380.0
1.0,3200.0,1600.0,108371084.0,5204.0,108365880.0,1600.0,108371060.0
1.0,3200.0,1600.0,108372717.0,5157.0,108367560.0,1600.0,108372600.0
0.0,3200.0,1600.0,108377501.0,1961.0,108375540.0,1600.0,108377500.0
1.0,3200.0,1600.0,108379739.0,2099.0,108377640.0,1600.0,108379740.0
0.0,3200.0,1600.0,108381523.0,3603.0,108377920.0,1600.0,108381420.0
